id,grade,difficulty,question,option1,option2,option3,option4,answer
1,5,hard,49 + 64 = ?,112,104,117,113,113
2,1,easy,60 ÷ 10 = ?,6,11,-2,2,6
3,3,hard,67 × 15 = ?,1004,1005,1000,1014,1005
4,3,medium,34 × 11 = ?,377,374,371,369,374
5,5,medium,31 × 19 = ?,584,583,589,593,589
6,2,easy,9 + 10 = ?,19,24,12,18,19
7,5,medium,13 - 29 = ?,-16,-9,-13,-26,-16
8,4,hard,48 + 98 = ?,143,147,145,146,146
9,5,hard,38 - 3 = ?,43,32,35,30,35
10,5,medium,48 ÷ 6 = ?,3,8,10,1,8
11,3,medium,31 - 11 = ?,23,20,15,29,20
12,3,hard,60 ÷ 10 = ?,13,-3,14,6,6
13,3,easy,7 × 8 = ?,52,56,55,61,56
14,1,medium,37 × 34 = ?,1248,1258,1251,1266,1258
15,4,hard,26 × 74 = ?,1924,1934,1918,1923,1924
16,5,hard,22 - 89 = ?,-60,-72,-68,-67,-67
17,1,hard,57 - 12 = ?,51,45,38,40,45
18,2,easy,3 × 9 = ?,29,20,31,27,27
19,3,medium,33 - 9 = ?,33,28,24,15,24
20,1,medium,34 × 6 = ?,204,198,196,195,204
21,3,medium,31 + 41 = ?,80,72,73,78,72
22,2,hard,12 × 33 = ?,401,391,394,396,396
23,4,medium,27 ÷ 9 = ?,5,3,-4,11,3
24,4,medium,22 - 17 = ?,-4,1,5,-5,5
25,3,medium,102 ÷ 17 = ?,-3,1,6,-4,6
26,2,hard,36 ÷ 9 = ?,5,4,2,-4,4
27,2,hard,69 + 67 = ?,136,138,135,134,136
28,4,hard,38 × 28 = ?,1064,1065,1055,1058,1064
29,3,easy,30 ÷ 5 = ?,6,14,0,16,6
30,1,medium,14 × 13 = ?,178,173,182,184,182
31,1,easy,45 ÷ 9 = ?,10,4,-3,5,5
32,4,medium,38 × 6 = ?,228,226,238,230,228
33,2,easy,5 × 7 = ?,36,26,29,35,35
34,3,easy,25 ÷ 5 = ?,5,3,-3,15,5
35,1,medium,45 + 25 = ?,74,72,70,64,70
36,4,hard,22 - 31 = ?,-10,-9,0,-8,-9
37,5,hard,93 - 55 = ?,28,35,38,43,38
38,3,hard,144 ÷ 16 = ?,6,9,17,7,9
39,5,medium,200 ÷ 20 = ?,10,3,2,0,10
40,2,medium,72 ÷ 8 = ?,12,1,16,9,9
41,3,easy,8 - 1 = ?,10,15,7,0,7
42,1,easy,3 ÷ 3 = ?,5,2,1,-2,1
43,5,medium,23 × 20 = ?,460,470,466,459,460
44,5,hard,11 × 2 = ?,22,18,17,26,22
45,4,easy,8 + 2 = ?,3,18,10,15,10
46,5,easy,10 × 5 = ?,49,55,48,50,50
47,3,hard,66 ÷ 11 = ?,6,4,14,9,6
48,1,medium,6 × 10 = ?,56,50,58,60,60
49,3,hard,79 + 21 = ?,103,90,100,98,100
50,2,easy,9 - 6 = ?,8,7,3,-7,3
51,5,medium,10 × 18 = ?,185,180,176,171,180
52,3,hard,24 ÷ 6 = ?,-4,4,-6,13,4
53,5,easy,10 × 8 = ?,88,75,80,85,80
54,1,hard,10 × 30 = ?,300,293,299,303,300
55,5,medium,22 × 47 = ?,1028,1034,1025,1041,1034
56,1,hard,65 ÷ 13 = ?,5,11,7,12,5
57,5,hard,31 - 32 = ?,-7,-9,-10,-1,-1
58,2,medium,17 - 24 = ?,-16,-7,-1,0,-7
59,2,hard,24 + 19 = ?,43,53,40,41,43
60,1,easy,6 + 4 = ?,10,7,9,2,10
61,5,easy,2 + 7 = ?,17,19,1,9,9
62,2,easy,3 - 6 = ?,-8,-3,0,3,-3
63,4,hard,68 ÷ 17 = ?,4,13,6,14,4
64,2,medium,29 × 34 = ?,985,983,986,987,986
65,1,easy,1 + 8 = ?,9,13,1,15,9
66,4,medium,29 - 16 = ?,13,23,15,7,13
67,1,hard,64 + 19 = ?,85,89,83,86,83
68,3,hard,108 ÷ 18 = ?,6,-4,-2,-1,6
69,1,easy,6 + 3 = ?,18,17,9,-1,9
70,4,easy,8 × 10 = ?,88,74,80,73,80
71,4,hard,70 + 40 = ?,114,100,106,110,110
72,1,easy,3 - 8 = ?,-7,2,-5,-12,-5
73,5,hard,39 × 88 = ?,3432,3425,3440,3442,3432
74,1,medium,13 ÷ 13 = ?,1,3,0,-6,1
75,1,hard,14 × 52 = ?,728,719,725,727,728
76,1,easy,7 - 7 = ?,-3,0,1,5,0
77,3,hard,9 ÷ 1 = ?,9,15,2,13,9
78,3,medium,28 - 45 = ?,-15,-17,-9,-7,-17
79,4,medium,44 ÷ 11 = ?,4,0,-4,-2,4
80,5,medium,12 + 36 = ?,42,57,49,48,48
81,5,hard,16 ÷ 8 = ?,3,8,2,12,2
82,3,hard,96 - 97 = ?,-11,-1,-9,5,-1
83,2,medium,43 × 38 = ?,1634,1629,1624,1631,1634
84,5,easy,3 - 3 = ?,1,-5,-3,0,0
85,1,hard,5 ÷ 1 = ?,-4,1,5,-1,5
86,5,easy,2 + 2 = ?,6,4,14,0,4
87,5,medium,29 - 42 = ?,-3,-13,-5,-11,-13
88,4,easy,6 × 9 = ?,54,49,45,62,54
89,3,hard,108 ÷ 18 = ?,4,10,0,6,6
90,3,easy,48 ÷ 6 = ?,-2,8,17,18,8
91,2,medium,45 + 20 = ?,58,62,69,65,65
92,1,medium,27 - 21 = ?,16,6,12,-4,6
93,4,medium,36 × 10 = ?,360,370,363,357,360
94,2,easy,70 ÷ 7 = ?,11,6,10,20,10
95,2,hard,68 + 74 = ?,141,144,142,139,142
96,3,medium,37 - 41 = ?,-7,-4,-8,1,-4
97,3,medium,19 ÷ 19 = ?,10,1,0,3,1
98,4,medium,42 × 26 = ?,1095,1091,1098,1092,1092
99,4,hard,57 - 25 = ?,25,36,32,28,32
100,5,medium,15 ÷ 15 = ?,9,1,-2,7,1
101,5,medium,38 - 13 = ?,20,25,16,17,25
102,3,hard,23 + 100 = ?,114,129,118,123,123
103,5,medium,32 - 28 = ?,-4,0,-1,4,4
104,4,hard,47 × 72 = ?,3384,3394,3392,3393,3384
105,5,easy,54 ÷ 6 = ?,0,8,9,7,9
